pn_review_score,pred,pred
Negative,votes_delay,1213
Negative,votes_before,449
Negative,votes_part,353
Negative,votes_sat,252
Negative,votes_ret,233
Negative,votes_qual,165
Negative,votes_etc,131
Negative,votes_od,101
Negative,votes_wrong,83
Negative,votes_bro,76
Negative,votes_ss,72
Negative,votes_naa,18
Negative,votes_pack,6
Positive,votes_sat,3017
Positive,votes_before,3010
Positive,votes_delay,145
Positive,votes_od,51
Positive,votes_part,47
Positive,votes_ret,28
Positive,votes_qual,23
Positive,votes_bro,20
Positive,votes_etc,15
Positive,votes_wrong,8
Positive,votes_naa,5
Positive,votes_ss,5
Positive,votes_pack,1
