classes,pred,pred
votes_before,votes_before,3449
votes_before,votes_etc,1
votes_before,votes_od,1
votes_before,votes_qual,1
votes_bro,votes_bro,84
votes_bro,votes_ret,4
votes_bro,votes_sat,2
votes_bro,votes_ss,2
votes_bro,votes_delay,1
votes_bro,votes_etc,1
votes_delay,votes_delay,1344
votes_delay,votes_od,4
votes_delay,votes_bro,2
votes_delay,votes_ss,1
votes_etc,votes_etc,139
votes_etc,votes_ret,3
votes_etc,votes_delay,2
votes_etc,votes_part,2
votes_etc,votes_before,1
votes_etc,votes_od,1
votes_naa,votes_naa,22
votes_naa,votes_sat,4
votes_naa,votes_qual,1
votes_naa,votes_wrong,1
votes_od,votes_od,144
votes_od,votes_bro,4
votes_od,votes_part,2
votes_od,votes_sat,1
votes_pack,votes_pack,7
votes_pack,votes_bro,5
votes_pack,votes_part,2
votes_part,votes_part,387
votes_part,votes_before,6
votes_part,votes_sat,2
votes_part,votes_delay,1
votes_part,votes_od,1
votes_part,votes_ss,1
votes_qual,votes_qual,184
votes_qual,votes_ret,3
votes_qual,votes_etc,2
votes_qual,votes_before,1
votes_qual,votes_part,1
votes_qual,votes_wrong,1
votes_ret,votes_ret,247
votes_ret,votes_delay,5
votes_ret,votes_part,4
votes_ret,votes_before,1
votes_ret,votes_naa,1
votes_ret,votes_qual,1
votes_ret,votes_ss,1
votes_ret,votes_wrong,1
votes_sat,votes_sat,3260
votes_sat,votes_ret,2
votes_sat,votes_qual,1
votes_sat,votes_wrong,1
votes_ss,votes_ss,72
votes_ss,votes_delay,4
votes_ss,votes_etc,2
votes_ss,votes_part,2
votes_ss,votes_ret,2
votes_ss,votes_bro,1
votes_ss,votes_od,1
votes_wrong,votes_wrong,87
votes_wrong,votes_before,1
votes_wrong,votes_delay,1
votes_wrong,votes_etc,1
