ctg2,id
여성의류,50000167
여성언더웨어/잠옷,50000168
남성의류,50000169
남성언더웨어/잠옷,50000170
아동의류,50000171
아동언더웨어/잠옷,50000172
여성신발,50000173
남성신발,50000174
지갑,50000179
여행용가방/소품,50000178
신발용품,50000175
여성가방,50000176
남성가방,50000177
헤어액세서리,50000184
모자,50000181
패션소품,50000185
주얼리,50000189
순금,50000188
장갑,50000182
벨트,50000180
베이비주얼리,50000187
양말,50000166
선글라스/안경테,50000183
시계,50000186
스킨케어,50000190
선케어,50000191
클렌징,50000192
베이스메이크업,50000194
색조메이크업,50000195
뷰티소품,50000201
마스크/팩,50000193
네일케어,50000196
향수,50000200
바디케어,50000197
헤어케어,50000198
헤어스타일링,50000199
남성화장품,50000202
휴대폰,50000204
휴대폰 액세서리,50000205
카메라/캠코더용품,50000206
광학기기/용품,50000207
영상가전,50000208
계절가전,50000212
음향가전,50000209
생활가전,50000210
이미용가전,50000211
자동차기기,50000214
PC,50000089
노트북,50000151
PC부품,50000097
PC액세서리,50000090
태블릿PC,50000152
모니터,50000153
모니터주변기기,50000093
태블릿PC액세서리,50000092
노트북액세서리,50000091
주방가전,50000213
멀티미디어장비,50000095
소프트웨어,50000099
네트워크장비,50000098
PC주변기기,50000094
학습기기,50000087
저장장치,50000096
게임기/타이틀,50000088
침실가구,50000100
거실가구,50000101
주방가구,50000102
수납가구,50000103
아동/주니어가구,50000104
서재/사무용가구,50000105
아웃도어가구,50000106
DIY자재/용품,50000107
침구단품,50000109
침구세트,50000110
카페트/러그,50000112
커튼/블라인드,50000113
홈데코,50000154
솜류,50000111
수예,50000114
인테리어소품,50000108
분유,50000115
기저귀,50000116
물티슈,50000117
이유식,50000118
수유용품,50000120
간식/건강식품,50000119
유모차,50000121
카시트,50000122
외출용품,50000123
목욕용품,50000124
스킨/바디용품,50000125
위생/건강용품,50000126
유아세제,50000128
구강청결용품,50000127
소독/살균용품,50000129
안전용품,50000130
임산부용품,50000134
유아침구,50000135
이유식용품,50000132
유아가구,50000131
임부복,50000133
출산/돌기념품,50000136
신생아의류,50000137
유아의류,50000138
완구/매트,50000142
유아잡화,50000139
인형,50000143
수영복/용품,50000140
교재/서적,50000144
유아발육용품,50000141
축산,50000145
건강식품,50000023
수산,50000159
농산물,50000160
반찬,50000146
김치,50000147
음료,50000148
가공식품,50000150
다이어트식품,50000024
과자,50000149
아이스크림/빙수,50000025
냉동/간편조리식품,50000026
전통주,50006349
쿠킹박스,50006808
등산,50000027
캠핑,50000028
수영,50000164
스포츠액세서리,50000053
골프,50000029
스키/보드,50000162
자전거,50000161
낚시,50000163
헬스,50000030
오토바이/스쿠터,50000035
스케이트/보드/롤러,50000034
인라인스케이트,50000033
요가/필라테스,50000031
축구,50000036
야구,50000037
농구,50000038
배구,50000039
탁구,50000040
배드민턴,50000041
스킨스쿠버,50000046
검도,50000047
테니스,50000042
스쿼시,50000043
족구,50000044
볼링,50000045
댄스,50000048
권투,50000049
보호용품,50000050
수련용품,50000052
무술용품,50000051
마라톤용품,50000020
당구용품,50000021
기타스포츠용품,50000022
공구,50000165
문구/사무용품,50000158
화방용품,50000054
관상어용품,50000057
수집품,50000056
자동차용품,50000055
악기,50000156
DVD,50000059
음반,50000058
반려동물,50000155
종교,50000060
욕실용품,50000157
세탁용품,50000062
건강측정용품,50000063
건강관리용품,50000064
당뇨관리용품,50000065
좌욕/좌훈용품,50000070
주방용품,50000061
의료용품,50000066
냉온/찜질용품,50000071
재활운동용품,50000068
눈건강용품,50000073
실버용품,50000067
물리치료/저주파용품,50000069
구강위생용품,50000072
발건강용품,50000074
생활용품,50000078
안마용품,50000075
수납/정리용품,50000076
청소용품,50000077
원예/식물,50000079
블루레이,50000081
정원/원예용품,50000080
공연/티켓,50000082
꽃/케이크배달,50000083
지류/카드상품권,50000084
모바일쿠폰/상품권,50000085
레저이용권,50000086
여행/항공권,50000011
e컨텐츠,50000012
장기렌터카,50006929
